COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
DNK,,ALL,1979,13752
DNK,,ALL,1980,13883.89
DNK,,ALL,1981,12081.8
DNK,,ALL,1982,11804.43
DNK,,ALL,1983,11857.89
DNK,,ALL,1984,11562.92
DNK,,ALL,1985,12253.1
DNK,,ALL,1986,17201.09
DNK,,ALL,1987,21340.73
DNK,,ALL,1988,22527.05
DNK,,ALL,1989,21901.05
DNK,,ALL,1990,26891.45
DNK,,ALL,1991,27011.38
DNK,,ALL,1992,29569.66
DNK,,ALL,1993,27597.98
DNK,,ALL,1994,29995.58
DNK,,ALL,1995,35351.37
DNK,,ALL,1996,35650.71
DNK,,ALL,1997,32835.94
DNK,,ALL,1998,33368.14
DNK,,ALL,1999,33440.79
DNK,,ALL,2000,30743.55
DNK,,ALL,2001,30751.65
DNK,,ALL,2002,33228.69
DNK,,ALL,2003,40458.78
DNK,,ALL,2004,46511.6
DNK,,ALL,2005,48799.83
DNK,,ALL,2006,52027
DNK,,ALL,2007,58487.05
DNK,,ALL,2008,64322.06
DNK,,ALL,2009,58163.28
DNK,,ALL,2010,58041.4
DNK,,ALL,2011,61753.65
DNK,,ALL,2012,58507.51
DNK,,ALL,2013,61191.19
DNK,,ALL,2014,62548.98
DNK,,ALL,2015,53254.86
DNK,,ALL,2016,54664
DNK,,ALL,2017,57610.1
DNK,,ALL,2018,61591.93
DNK,,ALL,2019,59775.74
DNK,,ALL,2020,61063.32
DNK,,ALL,2021,67803.05
ESP,,ALL,1970,1212.29
ESP,,ALL,1971,1362.17
ESP,,ALL,1972,1708.81
ESP,,ALL,1973,2247.55
ESP,,ALL,1974,2749.92
ESP,,ALL,1975,3209.84
ESP,,ALL,1976,3279.31
ESP,,ALL,1977,3627.59
ESP,,ALL,1978,4356.44
ESP,,ALL,1979,5770.21
ESP,,ALL,1980,6208.58
ESP,,ALL,1981,5371.17
ESP,,ALL,1982,5159.71
ESP,,ALL,1983,4478.5
ESP,,ALL,1984,4489.99
ESP,,ALL,1985,4699.66
ESP,,ALL,1986,6513.5
ESP,,ALL,1987,8239.61
ESP,,ALL,1988,9703.12
ESP,,ALL,1989,10681.97
ESP,,ALL,1990,13804.88
ESP,,ALL,1991,14811.9
ESP,,ALL,1992,16112.19
ESP,,ALL,1993,13339.91
ESP,,ALL,1994,13415.29
ESP,,ALL,1995,15471.96
ESP,,ALL,1996,16109.08
ESP,,ALL,1997,14730.8
ESP,,ALL,1998,15394.35
ESP,,ALL,1999,15720.64
ESP,,ALL,2000,14749.69
ESP,,ALL,2001,15369
ESP,,ALL,2002,17106.69
ESP,,ALL,2003,21510.84
ESP,,ALL,2004,24907
ESP,,ALL,2005,26429.15
ESP,,ALL,2006,28389.08
ESP,,ALL,2007,32591.35
ESP,,ALL,2008,35510.72
ESP,,ALL,2009,32169.5
ESP,,ALL,2010,30532.48
ESP,,ALL,2011,31677.9
ESP,,ALL,2012,28322.81
ESP,,ALL,2013,29067.81
ESP,,ALL,2014,29500.79
ESP,,ALL,2015,25742.37
ESP,,ALL,2016,26523.35
ESP,,ALL,2017,28170.17
ESP,,ALL,2018,30364.58
ESP,,ALL,2019,29554.49
ESP,,ALL,2020,27056.42
ESP,,ALL,2021,30115.71
EST,,ALL,1995,3134.39
EST,,ALL,1996,3380.93
EST,,ALL,1997,3682.95
EST,,ALL,1998,4093.39
EST,,ALL,1999,4140.94
EST,,ALL,2000,4070.61
EST,,ALL,2001,4505.86
EST,,ALL,2002,5341.63
EST,,ALL,2003,7203.52
EST,,ALL,2004,8914.1
EST,,ALL,2005,10412.64
EST,,ALL,2006,12639.4
EST,,ALL,2007,16744.58
EST,,ALL,2008,18204.97
EST,,ALL,2009,14711.74
EST,,ALL,2010,14663.04
EST,,ALL,2011,17487.8
EST,,ALL,2012,17403.21
EST,,ALL,2013,19056
EST,,ALL,2014,20261.07
