COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
IRL,,ALL,2007,2714.56
IRL,,ALL,2008,2880.23
IRL,,ALL,2009,2906.14
IRL,,ALL,2010,2643.49
IRL,,ALL,2011,2527.69
IRL,,ALL,2012,2577.21
IRL,,ALL,2013,2504.96
IRL,,ALL,2014,2510.94
ISL,,ALL,1995,1602.82
ISL,,ALL,1996,1642.95
ISL,,ALL,1997,1732.2
ISL,,ALL,1998,2011.28
ISL,,ALL,1999,2285.52
ISL,,ALL,2000,2251.2
ISL,,ALL,2001,2327.72
ISL,,ALL,2002,2590.42
ISL,,ALL,2003,2620.78
ISL,,ALL,2004,2738.87
ISL,,ALL,2005,2719.83
ISL,,ALL,2006,2736.1
ISL,,ALL,2007,2832.23
ISL,,ALL,2008,3027.79
ISL,,ALL,2009,2978.06
ISL,,ALL,2010,2749.55
ISL,,ALL,2011,2762.94
ISL,,ALL,2012,2842.57
ISL,,ALL,2013,2985
ISL,,ALL,2014,3145.84
ISR,,ALL,1995,970.57
ISR,,ALL,1996,1052.31
ISR,,ALL,1997,1092.13
ISR,,ALL,1998,1040.82
ISR,,ALL,1999,1031.61
ISR,,ALL,2000,1102.2
ISR,,ALL,2001,1166.3
ISR,,ALL,2002,1182.8
ISR,,ALL,2003,1079.98
ISR,,ALL,2004,1116.82
ISR,,ALL,2005,1084.64
ISR,,ALL,2006,1193.5
ISR,,ALL,2007,1240.59
ISR,,ALL,2008,1214.29
ISR,,ALL,2009,1248.09
ISR,,ALL,2010,1326.62
ISR,,ALL,2011,1393.99
ISR,,ALL,2012,1538.73
ISR,,ALL,2013,1582.69
ISR,,ALL,2014,1581.69
ITA,,ALL,1995,1103.46
ITA,,ALL,1996,1153.31
ITA,,ALL,1997,1240.52
ITA,,ALL,1998,1308.26
ITA,,ALL,1999,1355.41
ITA,,ALL,2000,1521.25
ITA,,ALL,2001,1687.91
ITA,,ALL,2002,1698.22
ITA,,ALL,2003,1733.9
ITA,,ALL,2004,1853.03
ITA,,ALL,2005,1974.33
ITA,,ALL,2006,2160.12
ITA,,ALL,2007,2196.52
ITA,,ALL,2008,2412.83
ITA,,ALL,2009,2480.88
ITA,,ALL,2010,2522.95
ITA,,ALL,2011,2502.68
ITA,,ALL,2012,2489.69
ITA,,ALL,2013,2462.34
ITA,,ALL,2014,2449.03
KAZ,,ALL,1995,172.76
KAZ,,ALL,1996,167.48
KAZ,,ALL,1997,191.45
